LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,MedianHP,MedianIncome,UnRate,PTAL_average,Pct_badhealth,Pct_qual_above_l4,Pct_elderly,Pct_nonwhite,kMedianHP
E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,505000,65520,0.035,8.000,0.020,0.776,0.183,0.155,505.000
E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,525000,66300,0.017,8.000,0.027,0.792,0.187,0.113,525.000
E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,350000,54140,0.047,7.306,0.062,0.568,0.189,0.216,350.000
E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,300000,46740,0.087,8.000,0.073,0.345,0.129,0.486,300.000
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,240500,38200,0.095,6.361,0.042,0.329,0.078,0.673,240.500
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,212000,32940,0.119,6.788,0.050,0.323,0.042,0.684,212.000
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,140000,31430,0.180,3.134,0.037,0.242,0.026,0.686,140.000
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,226500,35230,0.100,7.146,0.068,0.350,0.102,0.762,226.500
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,151475,35190,0.097,6.867,0.031,0.449,0.030,0.714,151.475
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,214000,34830,0.102,7.000,0.050,0.296,0.055,0.788,214.000
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,170000,33780,0.107,4.133,0.034,0.331,0.028,0.719,170.000
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,161000,33190,0.101,3.949,0.092,0.169,0.130,0.314,161.000
E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,160000,32850,0.114,3.308,0.063,0.143,0.114,0.250,160.000
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,150000,32520,0.117,2.898,0.053,0.178,0.067,0.335,150.000
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,159995,33720,0.091,2.448,0.064,0.145,0.115,0.295,159.995
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,167500,33120,0.088,3.253,0.072,0.197,0.102,0.306,167.500
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,162000,33750,0.104,3.098,0.063,0.169,0.108,0.284,162.000
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,170000,33990,0.134,2.588,0.068,0.201,0.097,0.443,170.000
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,155000,34070,0.114,2.964,0.086,0.206,0.121,0.350,155.000
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,160000,31980,0.132,2.322,0.075,0.224,0.080,0.459,160.000
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,165000,34440,0.102,2.900,0.065,0.184,0.090,0.365,165.000
E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,179995,34270,0.111,2.926,0.063,0.287,0.100,0.446,179.995
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,169500,33810,0.092,3.000,0.066,0.179,0.089,0.441,169.500
